Player Name,Player Number,Position,Height,Weight,Birth Year,Hometown,School
Deana Guidry,0,LB,5-6,186,1978,"Decatur, IL",UCLA
Elizabeth Landry,1,WR,5-9,174,1980,"Beaumont, TX",Texas Wesleyan University
Eshombi Singleton,2,TE,5-9,190,1983,"Baton Rouge, LA",Rice University
Jessica Collins,4,DB,5-5,145,1989,"Jackson, MS",Southern New Hampshire University
Whitney Palmer,5,DL,5-8,161,1986,"Delray Beach, FL",Gulf Coast State
Anastasia Olavuo,6,LB,5-5,175,2001,"Espoo, Finland",Haukilahti High School
Michelle Angel,7,QB,5-9,145,1993,"Laguna Hills, CA",Orange Coast Community College
Waynicia Thomas,9,DL,5-6,166,1993,"Birmingham, AL",Minor High School
Kahriya Williams,11,LB,5-6,196,1999,"Gilmer, TX",University of Texas at Arlington
Crystal Daniels,12,WR,5-5,140,1991,"Chicago, IL",CCSJ
Jewelle Grimsley,13,DB,5-7,165,1988,"St. Petersburg, FL",US Army
Kelli Smith,14,RB,5-5,155,1991,"Chattanooga, TN",University of Alabama at Birmingham
Tara Thomas,15,RB,5-4,150,1989,"Dallas, TX",Texas Tech University
Chelsie Thompson,16,DB,5-9,180,1995,"Tuscaloosa, AL",University of Alabama
Grace Wiley,18,DB,5-10,160,2001,"Lake Oswego, OR",Washington State University
Janei Benamon,19,WR,5-7,121,1997,"San Antonio, TX",NCTC
Ashley McBay,20,WR,5-2,135,1990,"Grand Prairie, TX",University of Kansas
Jamie Lock,21,DB,5-2,130,1990,"Pelahatchie, MS",Mississippi Valley State University
Kerrie Isom,22,LB,5-6,165,2000,"Birmingham, AL",Huffman High School
Summer McNeal,23,WR,5-10,165,2003,"Chino Hills, CA",Biola University
Khadijah Ellison,24,DB,5-9,150,1992,"Boston, MA",Chipola College
Tatyana Guidry,25,RB,5-1,130,1978,"Lake Charles, LA",Grambling State University
Jazmine Rambo,26,RB,5-3,130,1993,"Tacoma, WA",Arkansas State University
Darcy Leslie,27,LB,5-6,170,1986,"Chicago, IL",Northeast University
Mikaile Fortson,28,DB,5-8,165,1992,"Seattle, WA",Renton High School
Arielle Wilks,29,DL,5-9,265,1988,"Dallas, TX",Jarvis Christian College
Cathy Wabenga,31,DB,5-3,135,1991,"Euless, TX",Northwestern Oklahoma State University
Amber Kimbrough,32,LB,5-6,235,1996,"Chicago, IL",MIT
Cara Wesemann,34,P/K,5-9,155,1992,"Pleasant Hill, MO",MidAmerica Nazarene University
Armoni Stevenson,35,DL,5-8,225,2000,"Jefferson City, MO",Williams Baptist University
Trinity Smith,38,DB,5-8,155,1991,"Chandler, AZ",UAB
Mercedes Tyler,39,LB,5-5,175,1990,"San Diego, CA",CSU Sacramento
Phylicia Allen,41,DB,5-6,125,2000,"Newport News, VA",Grambling State University
Jimeriam Jackson,42,DL,5-10,205,1991,"Lena, MS",Tougaloo College
Kylah Hodges,43,LB,5-5,170,1996,"Crossett, AR",Purdue University
Brooke Denny,44,LB,5-4,145,1993,"Bedford, TX",Central High School
Tyara Blades,45,LB,5-4,175,1996,"Humble, TX",Texas A&M University
Teasha Martin-Palmer,47,OL,5-5,230,1992,"Tacoma, WA",Dallas College
Trinity Scott-Gooden,50,LB,5-5,168,2001,"Dallas, TX",East Texas
Fannie Robinson,55,DL,5-7,231,1984,"Dallas, TX",Texas College University
LeShaunte Bowman,57,DL,5-9,280,1992,"Tyler, TX",Dallas College
Kristyn Aoake Taylor,59,LB,5-7,175,1991,"Auckland, New Zealand",University of Auckland
Bethany Hipps,65,OL,5-9,260,1993,"Hattiesburg, MS",Southern Mississippi
Amanda Morgan,72,OL,5-6,250,1993,"Chicago, IL",Millikin University
Cierra McGinnis,74,OL,5-7,240,1999,"Fort Worth, TX",Orion High School
Renee Fruean,75,DL,5-10,350,1985,"Honolulu, HI",University of Louisiana Monroe
Lucinda Watkins,76,OL,5-6,260,1976,"Midlothian, TX",Paul Quinn College
Alina Markl,77,DL,5-8,260,1997,Germany,Wirtschaftschule
Tammie Moore,78,OL,5-8,290,1993,"St. Louis, MO",Southeast Missouri State University
Shavonne Ford,80,OL,5-10,247,1978,"Culver City, CA",Southern Arkansas University
Maria Jackson,81,WR,5-6,160,1985,"Middlefield, OH",Case Western Reserve University
Sarah Watson De La Torre,83,DB,5-7,170,1994,"Knob Noster, MO",Excelsior University
Desirea McGinnis,84,OL,5-10,265,1997,"Fort Worth, TX",Huston Tillotson
Sarah Clark,85,OL,6-2,240,1990,"Toledo, OH",Bethel University
Treva Mason,86,TE,5-9,200,1992,"Orlando, FL",Flagler College
Amanda Heilman,87,WR,5-9,160,1987,"Rugby, ND",Art Institute of Dallas
Grace Mole,88,WR,5-5,145,2000,"Yorba Linda, CA",Tarleton State University
Haley Hagar,98,DL,5-6,290,1991,"Goldthwaite, TX",Tarleton State University
Isis Woods,99,DL,5-7,280,1992,"Seguin, TX",Tarleton State University
